,dist,A,B,C,D,E,F
8915,28704.222948152965,3480.084027719195,2771.496052060482,1972.4102367704872,1291.6795464086226,928.4408482341468,633.6615657978373
8916,28737.29224558067,3483.670494298984,2774.5015911877736,1974.1824151952296,1292.770988771303,929.3529114819913,634.2111251890367
8917,28770.399641180702,3487.260656979906,2777.510389661384,1975.95618589338,1293.8633533800892,930.2658707043826,634.7611611998393
8918,28803.54517884479,3490.854519571043,2780.522451015888,1977.7315502955655,1294.956641014258,931.1797267814891,635.3116742436058
8919,28836.728902515417,3494.4520858854266,2783.537778789722,1979.5085098337117,1296.0508524537495,932.0944805943471,635.8626647340573
8920,28869.950856185507,3498.053359739985,2786.5563765251322,1981.287065941018,1297.1459884791589,933.0101330248556,636.4141330852698
8921,28903.21108389866,3501.658344955589,2789.5782477682137,1983.0672200519737,1298.2420498717404,933.9266849557786,636.9660797116804
8922,28936.50962974941,3505.267045357068,2792.6033960689247,1984.8489736023632,1299.3390374134128,934.8441372707532,637.5185050280878
8923,28969.846537882902,3508.879464773173,2795.631824981047,1986.6323280292545,1300.4369518867516,935.7624908542791,638.0714094496468
8924,29003.221852495204,3512.495607036598,2798.6635380622342,1988.4172847710092,1301.5357940749946,936.6817465917264,638.624793391873
8925,29036.635617833235,3516.1154759839897,2801.698538873981,1990.203845267277,1302.6355647620405,937.6019053693333,639.1786572706434
8926,29070.08787819508,3519.7390754559715,2804.7368309816684,1991.9920109590132,1303.736264732454,938.5229680742142,639.7330015021971
8927,29103.57867792967,3523.3664092970916,2807.7784179545283,1993.781783288456,1304.8378947714589,939.4449355943492,640.2878265031305
8928,29137.10806143703,3526.997481355872,2810.8233033656543,1995.5731636991404,1305.9404556649426,940.3678088185918,640.8431326904035
8929,29170.676073168517,3530.6322954848174,2813.8714907920435,1997.3661536359061,1307.0439481994604,941.2915886366716,641.3989204813394
8930,29204.282757626523,3534.2708555403856,2816.9229838145425,1999.1607545448835,1308.1483731622282,942.2162759391892,641.9551902936198
8931,29237.92815936477,3537.9131653830054,2819.977786017897,2000.9569678735047,1309.2537313411285,943.1418716176211,642.5119425452897
8932,29271.61232298824,3541.559228877087,2823.0359009907334,2002.7547950704989,1310.3600235247081,944.0683765643175,643.0691776547573
8933,29305.335293153494,3545.209049891046,2826.0973323255785,2004.5542375859084,1311.4672505021847,944.9957916725112,643.6268960407953
8934,29339.097114568358,3548.8626322972505,2829.1620836188495,2006.3552968710683,1312.5754130634377,945.9241178363069,644.1850981225358
8935,29372.89783199216,3552.519979972071,2832.230158470852,2008.157974378612,1313.684511999015,946.8533559506869,644.7437843194765
8936,29406.737490235973,3556.181096795891,2835.3015604858224,2009.9622715624955,1314.794548100136,947.7835069115192,645.3029550514809
8937,29440.616134162323,3559.8459866530748,2838.3762932718873,2011.7681898779683,1315.9055221586848,948.7145716155457,645.8626107387726
8938,29474.53380868548,3563.346574294174,2841.454360441084,2013.5757307815902,1317.0174349672159,949.6465509603913,646.4227518019427
8939,29508.490558771387,3566.4983668037876,2844.5357656093734,2015.384895731228,1318.130287318952,950.5794458445607,646.9833786619442
8940,29542.486429437988,3569.6529470849005,2847.6205123966415,2017.1956861860651,1319.2440800077907,951.5132571674471,647.5444917400996
8941,29576.521465754893,3572.8103176033105,2850.708604426693,2019.0081036065892,1320.3588138282955,952.4479858293214,648.1060914580922
8942,29610.595712843715,3575.970480826989,2853.8000453272675,2020.8221494546021,1321.4744895757049,953.3836327313408,648.6681782379743
8943,29644.709215877974,3579.133439226089,2856.894838730024,2022.6378251932158,1322.5911080459218,954.3201987755467,649.230752502161
8944,29678.86202008342,3582.2991952729612,2859.992988270589,2024.455132286868,1323.7086700355342,955.2576848648699,649.7938146734374
8945,29713.054170737723,3585.4677514421305,2863.0944975885036,2026.2740722013011,1324.827176341795,956.1706105688124,650.4262204054335
8946,29747.28571317072,3588.639110210308,2866.1337830725047,2028.2400696372142,1326.095857448695,957.0311213530057,651.0836406651135
8947,29781.55669276465,3591.8132740564165,2868.7825963429455,2030.3449380624556,1327.369953122966,957.8924065584198,651.7417254143002
8948,29815.867154953852,3594.9902454615503,2871.4338575841625,2032.4519908795514,1328.645272931811,958.7544668819963,652.4004753246281
8949,29850.21714522508,3598.1700269090047,2874.087569058513,2034.561230355422,1329.9218180513608,959.6173030213089,653.0598910684105
8950,29884.60670911741,3601.3526208842654,2876.743733030441,2036.672658759333,1331.1995896588796,960.4809156745539,653.719973318639
8951,29919.03589222259,3604.538029875037,2879.402351766493,2038.7862783629243,1332.478588932761,961.3453055405633,654.3807227489897
8952,29953.50474018469,3607.726256371204,2882.0634275353013,2040.9020914401744,1333.7588170525325,962.2104733187917,655.0421400338148
8953,29988.013298700374,3610.917302864855,2884.726962607592,2043.0201002674241,1335.040275198849,963.0764197093234,655.7042258481505
8954,30022.561613519134,3614.1111718502925,2887.3929592562104,2045.1403071233883,1336.3229645535093,963.9431454128785,656.3669808677168
8955,30057.14973044299,3617.3078658240233,2890.0614197560744,2047.2627142891347,1337.60688629944,964.8106511308021,657.0304057689137
8956,30091.77769532678,3620.507387284756,2892.7323463842213,2049.3873240481007,1338.8920416207063,965.6789375650719,657.694501228826
